rule,rule_definition,tier,n_parameters,members
R1_group_mean_cv (the flawed rule),Tier A if the parameter's GROUP has five-seed mean score >= 15 and group-level CV <= 0.20; Tier C if group mean < 1. Group-mean CV hides per-parameter spread.,A_strongly_identifiable,25,APD0;APD1;APD2;APD3;APD4;APD5;APD6;APD7;tau_dep0;tau_dep1;tau_dep2;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;q0;q1;q2;q3;q4;q5;q6;q7;global_gain
R1_group_mean_cv (the flawed rule),Tier A if the parameter's GROUP has five-seed mean score >= 15 and group-level CV <= 0.20; Tier C if group mean < 1. Group-mean CV hides per-parameter spread.,B_weakly_identifiable,16,delta_root;edge_prox0;edge_prox1;edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;tau_rep0;tau_rep1;tau_rep2;tau_rep3;tau_rep4;tau_rep5;tau_rep6;tau_rep7
R1_group_mean_cv (the flawed rule),Tier A if the parameter's GROUP has five-seed mean score >= 15 and group-level CV <= 0.20; Tier C if group mean < 1. Group-mean CV hides per-parameter spread.,C_primarily_regularized,6,alpha_ST0;alpha_ST1;alpha_ST2;alpha_ST3;alpha_ST4;alpha_ST5
R2_min_across_seeds,Tier A if min-across-seeds score >= 15 (per-parameter); Tier C if max-across-seeds score < 1 (CRB > 1 radius in every seed).,A_strongly_identifiable,8,APD3;APD5;APD7;tau_dep3;tau_dep4;tau_dep5;tau_dep7;global_gain
R2_min_across_seeds,Tier A if min-across-seeds score >= 15 (per-parameter); Tier C if max-across-seeds score < 1 (CRB > 1 radius in every seed).,B_weakly_identifiable,33,delta_root;edge_prox0;edge_prox1;edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;APD0;APD1;APD2;APD4;APD6;tau_dep0;tau_dep1;tau_dep2;tau_dep6;tau_rep0;tau_rep1;tau_rep2;tau_rep3;tau_rep4;tau_rep5;tau_rep6;tau_rep7;q0;q1;q2;q3;q4;q5;q6;q7
R2_min_across_seeds,Tier A if min-across-seeds score >= 15 (per-parameter); Tier C if max-across-seeds score < 1 (CRB > 1 radius in every seed).,C_primarily_regularized,6,alpha_ST0;alpha_ST1;alpha_ST2;alpha_ST3;alpha_ST4;alpha_ST5
R3_per_param_cv,Tier A if five-seed mean score >= 15 AND per-parameter CV <= 0.35; Tier C if five-seed mean score < 1.,A_strongly_identifiable,11,APD3;APD7;tau_dep3;tau_dep4;tau_dep5;tau_dep7;q3;q4;q5;q6;global_gain
R3_per_param_cv,Tier A if five-seed mean score >= 15 AND per-parameter CV <= 0.35; Tier C if five-seed mean score < 1.,B_weakly_identifiable,30,delta_root;edge_prox0;edge_prox1;edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;APD0;APD1;APD2;APD4;APD5;APD6;tau_dep0;tau_dep1;tau_dep2;tau_dep6;tau_rep0;tau_rep1;tau_rep2;tau_rep3;tau_rep4;tau_rep5;tau_rep6;tau_rep7;q0;q1;q2;q7
R3_per_param_cv,Tier A if five-seed mean score >= 15 AND per-parameter CV <= 0.35; Tier C if five-seed mean score < 1.,C_primarily_regularized,6,alpha_ST0;alpha_ST1;alpha_ST2;alpha_ST3;alpha_ST4;alpha_ST5
R4_mean_only,Tier A if five-seed mean score >= 15 (no robustness term); Tier C if mean < 1.,A_strongly_identifiable,23,edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;APD3;APD4;APD5;APD7;tau_dep2;tau_dep3;tau_dep4;tau_dep5;tau_dep6;tau_dep7;q1;q2;q3;q4;q5;q6;q7;global_gain
R4_mean_only,Tier A if five-seed mean score >= 15 (no robustness term); Tier C if mean < 1.,B_weakly_identifiable,18,delta_root;edge_prox0;edge_prox1;APD0;APD1;APD2;APD6;tau_dep0;tau_dep1;tau_rep0;tau_rep1;tau_rep2;tau_rep3;tau_rep4;tau_rep5;tau_rep6;tau_rep7;q0
R4_mean_only,Tier A if five-seed mean score >= 15 (no robustness term); Tier C if mean < 1.,C_primarily_regularized,6,alpha_ST0;alpha_ST1;alpha_ST2;alpha_ST3;alpha_ST4;alpha_ST5
R5_min_and_cv,"Tier A if min-across-seeds score >= 15 AND per-parameter CV <= 0.50; Tier C if max-across-seeds score < 1. Identical to R2 on this data: the CV term is non-binding once min-across-seeds is enforced, so R2 is preferred as simpler.",A_strongly_identifiable,8,APD3;APD5;APD7;tau_dep3;tau_dep4;tau_dep5;tau_dep7;global_gain
R5_min_and_cv,"Tier A if min-across-seeds score >= 15 AND per-parameter CV <= 0.50; Tier C if max-across-seeds score < 1. Identical to R2 on this data: the CV term is non-binding once min-across-seeds is enforced, so R2 is preferred as simpler.",B_weakly_identifiable,33,delta_root;edge_prox0;edge_prox1;edge_leaf0;edge_leaf1;edge_leaf2;edge_leaf3;edge_leaf4;APD0;APD1;APD2;APD4;APD6;tau_dep0;tau_dep1;tau_dep2;tau_dep6;tau_rep0;tau_rep1;tau_rep2;tau_rep3;tau_rep4;tau_rep5;tau_rep6;tau_rep7;q0;q1;q2;q3;q4;q5;q6;q7
R5_min_and_cv,"Tier A if min-across-seeds score >= 15 AND per-parameter CV <= 0.50; Tier C if max-across-seeds score < 1. Identical to R2 on this data: the CV term is non-binding once min-across-seeds is enforced, so R2 is preferred as simpler.",C_primarily_regularized,6,alpha_ST0;alpha_ST1;alpha_ST2;alpha_ST3;alpha_ST4;alpha_ST5
