index,name,group,physiological_meaning,bound_lo,bound_hi,unit_short,ident_score_seed42,ident_score_5seed_mean,ident_score_5seed_sd,ident_score_5seed_min,ident_score_5seed_cv,crb_12lead_seed42_scaled,strongest_coupling_partner,partner_corr_seed42,clinical_interpretation_in_manuscript,tier_recommended
0,delta_root,delta_root,Activation onset of the graph root (SA / atrial source) relative to the R peak; a global time origin for the whole activation sequence,-0.24,-0.12,s,13.7208292742643,9.369689194413445,4.119480803980387,3.4300825384865603,0.4396603471582147,0.0728818921955152,edge_prox0,-0.5931832899826476,no,B_weakly_identifiable
1,edge_prox0,edge_prox,conduction delay on graph edge e0 (SA/atrium -> AV/His); carries the AV-nodal delay (PR-segment analogue),0.04,0.2,s,9.992699947960896,9.267291284514704,3.8726732569577,4.554419847519642,0.4178862127090784,0.1000730538500817,delta_root,-0.5931832899827318,negative example only,B_weakly_identifiable
2,edge_prox1,edge_prox,conduction delay on graph edge e1 (AV/His -> septum); His-Purkinje entry into the septum,0.005,0.06,s,2.318865740704472,8.932984331317524,7.3805938053350095,2.318865740704472,0.8262181519181561,0.4312453206955396,edge_leaf2,-0.8388706969431646,negative example only,B_weakly_identifiable
3,edge_leaf0,edge_leaf,conduction delay on graph edge e2 (septum -> RV); fascicular / branch delay to that ventricular wall,0.005,0.07,s,3.349120265991452,27.788010305378755,16.018550424324435,3.349120265991452,0.5764554658029554,0.2985858734768267,edge_leaf2,0.9971667423844168,indirect only,B_weakly_identifiable
4,edge_leaf1,edge_leaf,conduction delay on graph edge e3 (septum -> LV-ant); fascicular / branch delay to that ventricular wall,0.005,0.07,s,3.37439279169126,30.31720468609418,20.09163613867728,3.37439279169126,0.6627140050247727,0.2963496136141269,edge_leaf2,0.9991927929275756,indirect only,B_weakly_identifiable
5,edge_leaf2,edge_leaf,conduction delay on graph edge e4 (septum -> LV-lat); fascicular / branch delay to that ventricular wall,0.005,0.07,s,3.381334505556021,30.75126665247904,20.329884165535717,3.381334505556021,0.6611072121120839,0.2957412223951388,edge_leaf4,0.9995581812381212,indirect only,B_weakly_identifiable
6,edge_leaf3,edge_leaf,conduction delay on graph edge e5 (septum -> LV-inf); fascicular / branch delay to that ventricular wall,0.005,0.07,s,3.368997252566708,23.384192094204728,14.342251119279783,3.368997252566708,0.613331051229014,0.2968242254392279,edge_leaf1,0.998310500197028,indirect only,B_weakly_identifiable
7,edge_leaf4,edge_leaf,conduction delay on graph edge e6 (septum -> apex); fascicular / branch delay to that ventricular wall,0.005,0.07,s,3.3676554418931435,27.46252209668545,16.414908178615907,3.3676554418931435,0.5977203448694568,0.2969424922633549,edge_leaf2,0.9995581812381212,indirect only,B_weakly_identifiable
8,APD0,APD,Equivalent action-potential duration of node 0 (SA / atrial source (graph root)),0.08,0.18,s,1.397803490657734,1.546459470262843,0.715218012803104,1.1272041728263495,0.462487395600185,0.7154081433359791,q0,-0.5583312404870985,no,B_weakly_identifiable
9,APD1,APD,Equivalent action-potential duration of node 1 (AV node - His entry),0.08,0.18,s,2.9325904262093885,2.891383394393264,0.7114617224961721,1.9282839657046995,0.2460627407198163,0.3409954527105857,edge_prox0,-0.508506735079599,no,B_weakly_identifiable
10,APD2,APD,Equivalent action-potential duration of node 2 (interventricular septum),0.18,0.45,s,2.9484772025589816,10.762373269259369,7.9295138525505156,2.9484772025589816,0.7367811591519163,0.3391581251271336,alpha_ST0,-0.3943003497439933,stated theta-domain result,B_weakly_identifiable
11,APD3,APD,Equivalent action-potential duration of node 3 (right-ventricular free wall),0.18,0.45,s,25.87130415849734,20.711731730963752,2.9374260847634583,18.49692586860992,0.141824262834191,0.0386528639558958,alpha_ST1,-0.4908530691067971,stated theta-domain result,A_strongly_identifiable
12,APD4,APD,Equivalent action-potential duration of node 4 (LV anterior wall),0.18,0.45,s,42.49066880312061,29.665453725059443,15.767746274797874,7.565094938940335,0.5315187969459004,0.0235345789597587,alpha_ST2,-0.4103847512542888,stated theta-domain result,B_weakly_identifiable
13,APD5,APD,Equivalent action-potential duration of node 5 (LV lateral wall),0.18,0.45,s,15.67400644358604,23.291922724567144,9.80040057572324,15.67400644358604,0.4207639142382295,0.0637998972119352,alpha_ST3,-0.4128520751517249,stated theta-domain result,A_strongly_identifiable
14,APD6,APD,Equivalent action-potential duration of node 6 (LV inferior wall),0.18,0.45,s,9.627529335373698,10.64375695124746,5.018334384208592,3.052166326290047,0.4714814897779527,0.1038688084102508,APD3,-0.4725526051328161,stated theta-domain result,B_weakly_identifiable
15,APD7,APD,Equivalent action-potential duration of node 7 (LV apex),0.18,0.45,s,24.89328863353728,28.101154768164854,8.522763392639522,19.908270990949056,0.3032887247144293,0.0401714700986818,alpha_ST5,-0.4783739977852639,stated theta-domain result,A_strongly_identifiable
16,tau_dep0,tau_dep,Depolarization (upstroke) time constant tau_dep of node 0 (SA / atrial source (graph root)); sets the QRS-limb slope contributed by that node,0.007,0.026,s,2.671779902307409,2.047314726374016,0.6985970303154233,0.943651770717642,0.3412260075678269,0.374282327349037,q0,0.7226631191574326,indirect only,B_weakly_identifiable
17,tau_dep1,tau_dep,Depolarization (upstroke) time constant tau_dep of node 1 (AV node - His entry); sets the QRS-limb slope contributed by that node,0.007,0.026,s,2.336205436268348,5.806041735495682,4.739962697584936,2.27647678915549,0.8163845376113661,0.4280445479988751,q1,0.5476048598888767,indirect only,B_weakly_identifiable
18,tau_dep2,tau_dep,Depolarization (upstroke) time constant tau_dep of node 2 (interventricular septum); sets the QRS-limb slope contributed by that node,0.007,0.026,s,1.6785824517261332,22.051219286014167,17.542111155177853,1.6785824517261332,0.7955166073879559,0.5957407686299068,q2,0.459670390119024,indirect only,B_weakly_identifiable
19,tau_dep3,tau_dep,Depolarization (upstroke) time constant tau_dep of node 3 (right-ventricular free wall); sets the QRS-limb slope contributed by that node,0.007,0.026,s,26.272855881147645,30.44695727288901,5.5322718946770335,24.181738390680792,0.1817019626983597,0.0380620974181021,q3,0.3589698506837453,indirect only,A_strongly_identifiable
20,tau_dep4,tau_dep,Depolarization (upstroke) time constant tau_dep of node 4 (LV anterior wall); sets the QRS-limb slope contributed by that node,0.007,0.026,s,29.584105027461465,30.79011746530218,8.225113063923295,21.41198403851764,0.2671348387414335,0.0338019351632151,tau_dep5,0.6247344255413646,indirect only,A_strongly_identifiable
21,tau_dep5,tau_dep,Depolarization (upstroke) time constant tau_dep of node 5 (LV lateral wall); sets the QRS-limb slope contributed by that node,0.007,0.026,s,50.550154669820735,34.39251937856299,9.233230529337437,27.5135389851115,0.2684662448745336,0.0197823331408522,tau_dep4,0.6247344255413647,indirect only,A_strongly_identifiable
22,tau_dep6,tau_dep,Depolarization (upstroke) time constant tau_dep of node 6 (LV inferior wall); sets the QRS-limb slope contributed by that node,0.007,0.026,s,29.184532511361304,27.100455626137062,13.666037211298349,10.148955325939315,0.5042733376821209,0.0342647256594125,q6,0.4555797007480452,indirect only,B_weakly_identifiable
23,tau_dep7,tau_dep,Depolarization (upstroke) time constant tau_dep of node 7 (LV apex); sets the QRS-limb slope contributed by that node,0.007,0.026,s,42.63804190613973,33.65458705463163,8.386605956092643,22.660000891658303,0.2491965194069572,0.0234532346068172,tau_dep4,0.5291931642141493,indirect only,A_strongly_identifiable
24,tau_rep0,tau_rep,Repolarization (downstroke) time constant tau_rep of node 0 (SA / atrial source (graph root)); sets the T-wave limb slope contributed by that node,0.035,0.1,s,1.55014710305784,1.9323357654310065,0.9168972026614174,1.291165654053668,0.4745020089492076,0.6451000669726036,q0,0.6498459904983431,indirect only,B_weakly_identifiable
25,tau_rep1,tau_rep,Repolarization (downstroke) time constant tau_rep of node 1 (AV node - His entry); sets the T-wave limb slope contributed by that node,0.035,0.1,s,4.31540727381149,4.039966264802718,1.2834564327993747,2.3786448750508766,0.3176898886461491,0.2317278385446043,q1,0.187005080474695,indirect only,B_weakly_identifiable
26,tau_rep2,tau_rep,Repolarization (downstroke) time constant tau_rep of node 2 (interventricular septum); sets the T-wave limb slope contributed by that node,0.035,0.1,s,1.3910933709144957,5.092846799160212,3.5292233017505605,1.3910933709144957,0.6929765298128572,0.718859007532044,q2,0.2910459673600953,indirect only,B_weakly_identifiable
27,tau_rep3,tau_rep,Repolarization (downstroke) time constant tau_rep of node 3 (right-ventricular free wall); sets the T-wave limb slope contributed by that node,0.035,0.1,s,12.009388146919454,10.070385370760976,1.1299001106248294,9.301340500636185,0.1122002851951878,0.0832681888341257,q3,0.4952780823063742,indirect only,B_weakly_identifiable
28,tau_rep4,tau_rep,Repolarization (downstroke) time constant tau_rep of node 4 (LV anterior wall); sets the T-wave limb slope contributed by that node,0.035,0.1,s,17.752830583883167,13.39677181379412,6.753535230021437,3.4992161141154607,0.5041166128594944,0.0563290454034888,q4,0.4836659462755289,indirect only,B_weakly_identifiable
29,tau_rep5,tau_rep,Repolarization (downstroke) time constant tau_rep of node 5 (LV lateral wall); sets the T-wave limb slope contributed by that node,0.035,0.1,s,7.735566958501414,10.970487383010802,4.048073479500338,7.591504489366033,0.3689966852128462,0.1292730067963534,tau_rep4,0.2550222179104838,indirect only,B_weakly_identifiable
30,tau_rep6,tau_rep,Repolarization (downstroke) time constant tau_rep of node 6 (LV inferior wall); sets the T-wave limb slope contributed by that node,0.035,0.1,s,4.837798607474279,5.239668132884255,2.586573750457019,1.3249233758439454,0.4936522094259432,0.2067055868045074,tau_rep3,-0.3433141152822043,indirect only,B_weakly_identifiable
31,tau_rep7,tau_rep,Repolarization (downstroke) time constant tau_rep of node 7 (LV apex); sets the T-wave limb slope contributed by that node,0.035,0.1,s,12.569023542582332,13.339457381698526,3.3553088169367733,9.854147122398215,0.2515326314202398,0.0795606752276436,tau_rep4,0.3609622822778779,indirect only,B_weakly_identifiable
32,q0,q,"Nodal source gain q of node 0 (SA / atrial source (graph root)); scales dU_i/dt, i.e. that node's contribution to the QRS/T dipole",0.05,3.0,1,11.723486919210782,13.149705104766404,5.296347567477036,7.777797472402707,0.4027731059578862,0.0852988540773941,tau_dep0,0.7226631191574331,indirect only,B_weakly_identifiable
33,q1,q,"Nodal source gain q of node 1 (AV node - His entry); scales dU_i/dt, i.e. that node's contribution to the QRS/T dipole",0.05,3.0,1,29.804641073925712,25.00780889681282,14.324134393980923,14.252798280900889,0.5727864625439656,0.0335518215944844,tau_dep1,0.5476048598888741,indirect only,B_weakly_identifiable
